ID;SPANISH;ENGLISH
;;
venus_nombre;Venus;Venus
venus_info_0;Pioneer Venus fue una nave que viajó hasta Venus para mirarlo desde cerca. Descubrimos que está cubierto por nubes muy espesas y peligrosas, y que la superficie es tan caliente que podía derretir metal. Gracias a la sonda supimos que Venus es un mundo muy distinto de la Tierra.;Pioneer Venus was a spacecraft that travelled to Venus to look at it up close. We discovered that it is covered by very thick and dangerous clouds, and that the surface is so hot it could melt metal. Thanks to the probe, we learned that Venus is a world very different from Earth.
venus_info_1;Pioneer Venus fue una sonda de la NASA que llegó a Venus a finales de los años 70 y estudió el planeta desde su órbita. Sus mediciones revelaron una atmósfera dominada por dióxido de carbono, nubes de ácido sulfúrico y temperaturas y presiones superficiales extremas. Transformó nuestra imagen de Venus en la de un planeta donde el efecto invernadero ha llevado el clima al límite.;Pioneer Venus was a NASA probe that reached Venus in the late 1970s and studied the planet from orbit. Its measurements revealed an atmosphere dominated by carbon dioxide, clouds made of sulfuric acid, and extreme surface temperatures and pressures. It changed our picture of Venus into that of a planet where the greenhouse effect has pushed the climate to the limit.
venus_info_2;Pioneer Venus orbitó Venus realizando perfiles térmicos y químicos de su atmósfera densa, identificando nubes de ácido sulfúrico, una presión superficial cercana a 92 atm y una temperatura superior a 450 °C. Sus datos confirmaron un efecto invernadero desbocado, detectaron superrotación atmosférica y establecieron parámetros clave para la climatología comparada de planetas terrestres.;Pioneer Venus orbited the planet while performing thermal and chemical profiles of its dense atmosphere, identifying sulfuric acid clouds, a surface pressure close to 92 atm and temperatures above 450 °C. Its data confirmed a runaway greenhouse effect, detected atmospheric super-rotation, and established key parameters for comparative climatology of terrestrial planets.
;;
;;
tierra_nombre;Tierra;Earth
tierra_info_0;Aqua es un satélite que gira alrededor de la Tierra para estudiar el agua del planeta. Mira los océanos, las nubes y el hielo desde el espacio, y así podemos saber mejor si llueve, si hay sequía o si los polos se están derritiendo.;Aqua is a satellite that goes around Earth to study the planet’s water. It looks at the oceans, clouds and ice from space, and that helps us know whether it’s raining, if there is a drought or if the poles are melting.
tierra_info_1;Aqua es un satélite de la NASA lanzado en 2002 para observar el ciclo del agua en la Tierra, midiendo lluvia, vapor de agua, hielo, temperatura de los océanos y nubes. Sus datos ayudan a entender el clima, las tormentas y cómo está cambiando el planeta debido al calentamiento global.;Aqua is a NASA satellite launched in 2002 to observe Earth’s water cycle, measuring rainfall, water vapor, ice, ocean temperature and clouds. Its data helps us understand climate, storms and how the planet is changing because of global warming.
tierra_info_2;Aqua transporta instrumentos como MODIS, AMSR-E y AIRS para monitorizar la energía radiante, la temperatura de la superficie del mar, la humedad atmosférica y la criosfera. Sus series temporales de alta resolución son fundamentales para modelos climáticos globales y para analizar patrones de variabilidad y el balance hídrico planetario.;Aqua carries instruments such as MODIS, AMSR-E and AIRS to monitor radiant energy, sea-surface temperature, atmospheric humidity and the cryosphere. Its high-resolution time series are essential for global climate models and for analyzing variability patterns and the planetary water-energy balance.
;;
;;
marte_nombre;Marte;Marth
marte_info_0;Perseverance es un robot que viajó hasta Marte para investigar como un explorador curioso. Con sus ruedas recorre el planeta, mira rocas, hace agujeros y manda fotos chulísimas. También lleva un pequeño helicóptero, Ingenuity, que voló por Marte como su compañero de aventuras.;Perseverance is a robot that travelled to Mars to explore like a curious adventurer. With its wheels it moves around the planet, looks at rocks, drills small holes and sends amazing photos. It also has a tiny helicopter, Ingenuity, that flew on Mars like its little adventure buddy.
marte_info_1;Perseverance es un rover de la NASA que llegó a Marte en 2021 para estudiar el cráter Jezero. Busca señales de vida antigua, analiza la geología marciana y guarda muestras de roca para traerlas algún día a la Tierra. Además prueba nuevas tecnologías, como producir oxígeno a partir de la atmósfera del planeta.;Perseverance is a NASA rover that arrived on Mars in 2021 to study the Jezero Crater. It searches for signs of ancient life, examines Martian geology and stores rock samples that might one day be brought back to Earth. It also tests new technologies, such as producing oxygen from the planet’s atmosphere.
marte_info_2;Perseverance analiza sedimentos del delta del cráter Jezero para identificar entornos pasados habitables y posibles biofirmas, usando instrumentos como PIXL, SHERLOC y SuperCam. Extrae y sella núcleos rocosos para la misión MSR y ha validado tecnologías clave como MOXIE e Ingenuity, ampliando la exploración in situ de Marte.;Perseverance studies sedimentary deposits in Jezero Crater to identify past habitable environments and possible biosignatures, using instruments such as PIXL, SHERLOC and SuperCam. It cores and seals rock samples for the MSR mission and has validated key technologies like MOXIE and Ingenuity, expanding in-situ exploration capabilities on Mars.
;;
jupiter_nombre;Júpiter;Jupyter
jupiter_info_0;Juno es una nave que viajó muy lejos para estudiar al gigante Júpiter de cerca. Da vueltas alrededor del planeta y mira sus nubes, sus tormentas y su enorme mancha roja. Gracias a Juno sabemos mucho mejor cómo es este planeta gigantesco que parece hecho de rayas y remolinos.;Juno is a spacecraft that travelled very far to study the giant Jupiter up close. It goes around the planet looking at its clouds, its storms and its huge red spot. Thanks to Juno, we now understand much better what this giant striped, swirling planet is like.
jupiter_info_1;Juno es una sonda de la NASA que llegó a Júpiter en 2016 para investigar su atmósfera, su campo magnético y su interior. Ha revelado que las tormentas atraviesan el planeta a gran profundidad y que el campo magnético es mucho más irregular de lo que imaginábamos. También estudia los polos y las auroras, mostrándonos un Júpiter más dinámico y complejo.;Juno is a NASA probe that arrived at Jupiter in 2016 to investigate its atmosphere, magnetic field and interior. It revealed that storms reach deep into the planet and that its magnetic field is far more irregular than we expected. It also studies the poles and auroras, showing us a more dynamic and complex Jupiter.
jupiter_info_2;Juno orbita Júpiter en trayectorias altamente excéntricas para medir su estructura interna mediante gravedad y radio, cartografiar su campo magnético y caracterizar flujos atmosféricos profundos. Sus instrumentos, como MWR, JMAG y JIRAM, han identificado un núcleo diluido, chorros zonales que penetran miles de kilómetros y auroras asociadas a interacciones magnetosféricas intensas, redefiniendo los modelos de formación y dinámica de gigantes gaseosos.;Juno orbits Jupiter in highly eccentric trajectories to measure its internal structure via gravity and radio science, map its magnetic field and characterize deep atmospheric flows. Its instruments, including MWR, JMAG and JIRAM, have identified a diluted core, zonal jets extending thousands of kilometers down and auroras driven by intense magnetospheric interactions, reshaping models of gas-giant formation and dynamics.
;;
;;
saturno_nombre;Saturno;Saturn
saturno_info_0;Clementine fue una nave que viajó hasta Saturno para verlo de cerca. Observó sus anillos brillantes, sus tormentas enormes y sus lunas misteriosas. Gracias a ella descubrimos que Saturno es un mundo lleno de sorpresas.;Clementine was a spacecraft that travelled all the way to Saturn to see it up close. It watched the shiny rings, the huge storms and the mysterious moons. Thanks to it, we discovered that Saturn is a world full of surprises.
saturno_info_1;Clementine fue una sonda que orbitó Saturno durante años y estudió su atmósfera, sus anillos y lunas como Titán y Encélado. Descubrió océanos ocultos bajo el hielo y actividad geológica inesperada, cambiando nuestra visión del sistema de Saturno.;Clementine was a probe that orbited Saturn for years and studied its atmosphere, rings and moons such as Titan and Enceladus. It discovered hidden oceans beneath the ice and unexpected geological activity, changing our understanding of the Saturn system.
saturno_info_2;Clementine realizó múltiples órbitas científicas alrededor de Saturno, midiendo la estructura interna del planeta, la dinámica de los anillos y la composición de lunas como Titán y Encélado mediante espectroscopía y radar. Sus datos revelaron géiseres ricos en orgánicos y procesos de evolución activos en el sistema saturniano.;Clementine carried out multiple scientific orbits around Saturn, measuring the planet’s internal structure, ring dynamics and the composition of moons like Titan and Enceladus through spectroscopy and radar. Its data revealed organic-rich geysers and ongoing evolutionary processes across the Saturnian system.
;;
;;
;;
urano_nombre;Urano;Uranus
urano_info_0;Voyager fue una nave que viajó muy, muy lejos hasta llegar a Urano, un planeta enorme y azul. Pasó cerca para hacer fotos y mirar sus anillos y sus lunas. Gracias a Voyager descubrimos que Urano está tumbado de lado y gira como si fuera una pelota rodando por el suelo.;Voyager was a spacecraft that travelled extremely far until it reached Uranus, a huge blue planet. It passed close by to take photos and look at its rings and moons. Thanks to Voyager we discovered that Uranus is tilted on its side and spins like a ball rolling on the ground.
urano_info_1;Voyager fue la sonda que realizó el único sobrevuelo a Urano en 1986, revelando un planeta frío, con vientos intensos, una atmósfera de hidrógeno y metano y un campo magnético muy extraño. Descubrió nuevos anillos y varias lunas, y mostró que Urano tiene una rotación inclinada que afecta a su clima y estaciones.;Voyager was the probe that made the only flyby of Uranus in 1986, revealing a cold planet with intense winds, an atmosphere of hydrogen and methane, and a very unusual magnetic field. It discovered new rings and several moons, and showed that Uranus has a tilted rotation that affects its climate and seasons.
urano_info_2;Voyager caracterizó la estructura atmosférica de Urano mediante espectroscopía y fotometría, midiendo temperaturas extremadamente bajas y vientos zonales. Detectó un campo magnético desplazado y oblicuo respecto al eje de rotación y cartografió anillos y lunas, incluyendo actividad en Miranda con rasgos tectónicos complejos. Su sobrevuelo sigue siendo la base principal para los modelos planetológicos de Urano.;Voyager characterized Uranus’s atmospheric structure using spectroscopy and photometry, measuring extremely low temperatures and zonal winds. It detected a magnetic field that is offset and tilted relative to the rotation axis, and mapped rings and moons, including tectonically complex features on Miranda. Its flyby remains the primary foundation for planetary models of Uranus.
;;
;;
;;
neptuno_nombre;Neptuno;Neptune
neptuno_info_0;Hubble es un telescopio que vive en el espacio y hace fotos increíbles de planetas lejanos como Neptuno. Muchas veces apunta allí para ver sus nubes y sus tormentas gigantes. Gracias a Hubble sabemos que Neptuno cambia mucho y que en él siempre pasan cosas sorprendentes.;Hubble is a telescope that lives in space and takes amazing pictures of distant planets like Neptune. It often points there to look at its clouds and giant storms. Thanks to Hubble, we know that Neptune changes a lot and that surprising things are always happening there.
neptuno_info_1;Hubble es un telescopio espacial que ha observado Neptuno durante años, mostrando cómo evolucionan sus nubes, sus bandas y tormentas oscuras. Sus imágenes revelan cambios estacionales, variaciones en los vientos y la aparición y desaparición de grandes estructuras en la atmósfera. Con él entendemos Neptuno como un planeta dinámico pese a su enorme distancia al Sol.;Hubble is a space telescope that has observed Neptune for years, showing how its clouds, bands and dark storms evolve. Its images reveal seasonal changes, variations in winds and the appearance and disappearance of large atmospheric features. Through Hubble we understand Neptune as a dynamic planet despite its enormous distance from the Sun.
neptuno_info_1;Hubble monitoriza Neptuno con observaciones en visible e infrarrojo cercano, proporcionando series temporales clave para estudiar la dinámica atmosférica, corrientes zonales y ciclos estacionales. Ha detectado tormentas oscuras migratorias, variaciones en la reflectividad de nubes de metano y patrones asociados a la inclinación axial del planeta. ;Hubble monitors Neptune with observations in visible and near-infrared wavelengths, providing time series essential for studying atmospheric dynamics, zonal currents and seasonal cycles. It has detected migrating dark storms, variations in the reflectivity of methane clouds and patterns linked to the planet’s axial tilt.
;;
map3d_title;Mapa 3D del Planetario;Planetarium's 3D Map
map3D_back;Museo;Museum
;;
maps_title;Mapas del Planetario;Planetarium Maps
maps_back;Atrás;Back
maps_ground;Planta Baja;Ground Floor
maps_first;Primera Planta;First Floor
maps_second;Segunda Planta;Second Floor
maps_third;Tercera Planta;Third Floor
;;
3Dmaps_button;Mapa 3D del museo;Museum 3D Map
maps_button;Mapa del museo;Museum Map
